"Privileges","Permitted","Entitlement ID"
"Course/Organization Control Panel (Tools) > Tasks > Create Task","false","course.tasks.CREATE"
"Course/Organization Control Panel (Users and Groups) > Users > Batch Enroll Users","false","course.user.batch.CREATE"
"Course Control Panel (Users and Groups) > Users > Enroll User for all roles","false","course.user-enroll.all-roles.EXECUTE"
"Course/Organization (Content Areas) > Adaptive Release > Create Date-Based Criteria","false","course.adaptiverelease.dates.CREATE"
"Course/Organization > Goals Alignments, Add/Edit","false","course.learningstandards.alignment.CREATE"
"Course/Organization (Content Areas) > Adaptive Release > View","false","course.adaptiverelease.VIEW"
"Course/Organization Control Panel (Tools) > Wiki > Grade Wiki","false","course.wiki.grade.EXECUTE"
"Course/Organization Control Panel (Tools) > Rubrics > Delete Rubric","false","course.rubrics.DELETE"
"Course/Organization Control Panel (Tools) > Calendar > Delete Course Schedule","false","course.calendar-entry.course-schedule.DELETE"
"Course/Organization Control Panel (Tools) > Calendar > Edit Entry","false","course.calendar-entry.MODIFY"
"Course/Organization Control Panel (Tools) > Calendar > Create Office Hours","false","course.calendar-entry.office-hours.CREATE"
"Course/Organization Control Panel (Users and Groups) > Groups","false","course.groups.admin.VIEW"
"Course/Organization (Content Areas) > Edit Material Availability","false","course.content.availability.MODIFY"
"Course/Organization Control Panel (Customization) > Properties","false","course.configure-properties.EXECUTE"
"Course/Organization > Content > + > Auto-Generate Modules","false","course.ai.features.EXECUTE"
"Course/Organization Control Panel (Evaluation) > Performance Dashboard","false","course.performance.dashboard.VIEW"
"Course/Organization Control Panel (Packages and Utilities)","false","course.utilities.VIEW"
"Course/Organization Control Panel (Tools) > Journals > View Journal","false","course.journal.VIEW"
"Course/Organization Control Panel (Users and Groups) > Users > Create User","false","course.user.CREATE"
"Course/Organization Control Panel (Grade Center) > View Grades","false","course.gradebook-grades.VIEW"
"Course/Organization Control Panel (Packages and Utilities) > Move Course Files","false","course.convert-coursefiles.EXECUTE"
